Ntor Npol Px
-15.933000 0.464440 0.000008
-15.933000 0.489540 0.000004
-15.933000 0.514640 0.000002
-15.933000 1.167400 0.000001
-15.933000 1.192500 0.000002
-15.933000 1.217600 0.000003
-15.933000 1.242700 0.000004
-15.933000 1.267800 0.000005
-15.933000 1.292900 0.000005
-15.933000 1.318000 0.000004
-15.933000 1.343100 0.000003
-15.933000 1.368200 0.000002
-15.933000 2.121300 0.000001
-15.933000 2.146400 0.000002
-15.933000 2.171500 0.000002
-15.933000 2.196700 0.000003
-15.933000 2.221800 0.000003
-15.933000 2.246900 0.000003
-15.933000 2.272000 0.000001
-15.933000 2.397500 0.000001
-15.933000 2.422600 0.000001
-15.933000 2.447700 0.000001
-15.900000 -1.192500 0.000002
-15.900000 -1.167400 0.000004
-15.900000 -1.142300 0.000008
-15.900000 -1.117200 0.000005
-15.900000 -1.092100 0.000009
-15.900000 -1.066900 0.000010
-15.900000 -1.041800 0.000003
-15.900000 -1.016700 0.000001
-15.900000 -0.991630 0.000001
-15.900000 -0.966530 0.000005
-15.900000 -0.941420 0.000018
-15.900000 -0.916320 0.000025
-15.900000 -0.891210 0.000039
-15.900000 -0.866110 0.000043
-15.900000 -0.841000 0.000036
-15.900000 -0.815900 0.000028
-15.900000 -0.790790 0.000023
-15.900000 -0.765690 0.000014
-15.900000 -0.740590 0.000013
-15.900000 -0.715480 0.000015
-15.900000 -0.690380 0.000014
-15.900000 -0.665270 0.000015
-15.900000 -0.640170 0.000011
-15.900000 -0.615060 0.000006
-15.900000 -0.589960 0.000004
-15.900000 -0.564850 0.000002
-15.900000 -0.539750 0.000001
-15.900000 -0.514640 0.000002
-15.900000 -0.489540 0.000002
-15.900000 -0.464440 0.000002
-15.900000 -0.439330 0.000002
-15.900000 -0.414230 0.000002
-15.900000 -0.389120 0.000003
-15.900000 -0.364020 0.000002
-15.900000 -0.338910 0.000002
-15.900000 -0.313810 0.000002
-15.900000 -0.288700 0.000001
-15.900000 -0.263600 0.000003
-15.900000 -0.238490 0.000005
-15.900000 -0.213390 0.000005
-15.900000 -0.188280 0.000005
-15.900000 -0.163180 0.000004
-15.900000 -0.138080 0.000004
-15.900000 -0.112970 0.000011
-15.900000 -0.087870 0.000013
-15.900000 -0.062760 0.000046
-15.900000 -0.037660 0.000071
-15.900000 -0.012550 0.000042
-15.900000 0.012550 0.000058
-15.900000 0.037660 0.000055
-15.900000 0.062760 0.000010
-15.900000 0.087870 0.000006
-15.900000 0.112970 0.000009
-15.900000 0.138080 0.000047
-15.900000 0.163180 0.000072
-15.900000 0.188280 0.000087
-15.900000 0.213390 0.000111
-15.900000 0.238490 0.000110
-15.900000 0.263600 0.000070
-15.900000 0.288700 0.000054
-15.900000 0.313810 0.000041
-15.900000 0.338910 0.000022
-15.900000 0.364020 0.000024
-15.900000 0.389120 0.000017
-15.900000 0.414230 0.000022
-15.900000 0.439330 0.000020
-15.900000 0.464440 0.000013
-15.900000 0.489540 0.000006
-15.900000 0.514640 0.000003
-15.900000 0.539750 0.000001
-15.900000 0.564850 0.000001
-15.900000 0.589960 0.000002
-15.900000 0.615060 0.000002
-15.900000 0.640170 0.000002
-15.900000 0.665270 0.000001
-15.900000 0.690380 0.000002
-15.900000 0.715480 0.000002
-15.900000 0.740590 0.000001
-15.900000 0.815900 0.000001
-15.900000 0.841000 0.000002
-15.900000 0.866110 0.000001
-15.900000 0.891210 0.000002
-15.900000 0.916320 0.000001
-15.900000 0.966530 0.000002
-15.900000 0.991630 0.000005
-15.900000 1.016700 0.000008
-15.900000 1.041800 0.000013
-15.900000 1.066900 0.000017
-15.900000 1.092100 0.000010
-15.900000 1.117200 0.000010
-15.900000 1.142300 0.000003
-15.900000 1.167400 0.000001
-15.900000 1.217600 0.000003
-15.900000 1.242700 0.000005
-15.900000 1.267800 0.000007
-15.900000 1.292900 0.000008
-15.900000 1.318000 0.000007
-15.900000 1.343100 0.000006
-15.900000 1.368200 0.000003
-15.900000 1.393300 0.000002
-15.900000 1.418400 0.000001
-15.900000 2.121300 0.000001
-15.900000 2.146400 0.000002
-15.900000 2.171500 0.000003
-15.900000 2.196700 0.000003
-15.900000 2.221800 0.000003
-15.900000 2.246900 0.000002
-15.900000 2.272000 0.000001
-15.900000 2.372400 0.000001
-15.900000 2.397500 0.000001
-15.900000 2.422600 0.000001
-15.867000 -2.246900 0.000001
-15.867000 -2.221800 0.000001
-15.867000 -2.196700 0.000002
-15.867000 -2.171500 0.000002
-15.867000 -1.318000 0.000002
-15.867000 -1.292900 0.000002
-15.867000 -1.217600 0.000002
-15.867000 -1.192500 0.000005
-15.867000 -1.167400 0.000024
-15.867000 -1.142300 0.000040
-15.867000 -1.117200 0.000052
-15.867000 -1.092100 0.000062
-15.867000 -1.066900 0.000040
-15.867000 -1.041800 0.000031
-15.867000 -1.016700 0.000021
-15.867000 -0.991630 0.000005
-15.867000 -0.966530 0.000006
-15.867000 -0.941420 0.000017
-15.867000 -0.916320 0.000046
-15.867000 -0.891210 0.000059
-15.867000 -0.866110 0.000066
-15.867000 -0.841000 0.000052
-15.867000 -0.815900 0.000044
-15.867000 -0.790790 0.000032
-15.867000 -0.765690 0.000030
-15.867000 -0.740590 0.000036
-15.867000 -0.715480 0.000032
-15.867000 -0.690380 0.000039
-15.867000 -0.665270 0.000036
-15.867000 -0.640170 0.000015
-15.867000 -0.615060 0.000009
-15.867000 -0.589960 0.000005
-15.867000 -0.564850 0.000005
-15.867000 -0.539750 0.000008
-15.867000 -0.514640 0.000006
-15.867000 -0.489540 0.000005
-15.867000 -0.464440 0.000004
-15.867000 -0.439330 0.000005
-15.867000 -0.414230 0.000009
-15.867000 -0.389120 0.000013
-15.867000 -0.364020 0.000010
-15.867000 -0.338910 0.000008
-15.867000 -0.313810 0.000003
-15.867000 -0.288700 0.000005
-15.867000 -0.263600 0.000013
-15.867000 -0.238490 0.000016
-15.867000 -0.213390 0.000026
-15.867000 -0.188280 0.000023
-15.867000 -0.163180 0.000005
-15.867000 -0.138080 0.000010
-15.867000 -0.112970 0.000038
-15.867000 -0.087870 0.000143
-15.867000 -0.062760 0.000243
-15.867000 -0.037660 0.000232
-15.867000 -0.012550 0.000366
-15.867000 0.012550 0.000392
-15.867000 0.037660 0.000189
-15.867000 0.062760 0.000135
-15.867000 0.087870 0.000077
-15.867000 0.112970 0.000014
-15.867000 0.138080 0.000036
-15.867000 0.163180 0.000077
-15.867000 0.188280 0.000154
-15.867000 0.213390 0.000175
-15.867000 0.238490 0.000152
-15.867000 0.263600 0.000113
-15.867000 0.288700 0.000088
-15.867000 0.313810 0.000056
-15.867000 0.338910 0.000059
-15.867000 0.364020 0.000069
-15.867000 0.389120 0.000061
-15.867000 0.414230 0.000057
-15.867000 0.439330 0.000046
-15.867000 0.464440 0.000015
-15.867000 0.489540 0.000008
-15.867000 0.514640 0.000005
